Suite ID	Tool IDs	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on BioBix	Number of tools on CIRM-CFBP	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on CorGAT	Number of tools on CropGalaxy	Number of tools on Dintor	Number of tools on FreeBioinfo	Number of tools on GASLINI	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on Genomic Hyperbrowser	Number of tools on IPK Galaxy Blast Suite	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on MISSISSIPPI	Number of tools on Mandoiu Lab	Number of tools on MiModD NacreousMap	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials
2d_auto_threshold	ip_threshold	Automatic thresholding	2019-01-22	https://github.com/bmcv	0.25.0	scikit-image		To update	Imaging	Image analysis, Image annotation, Visualisation, Data handling	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language	Imaging, Software engineering, Literature and language	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_auto_threshold/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_auto_threshold	scikit-image	scikit-image	Scikit-image contains image processing algorithms for SciPy, including IO, morphology, filtering, warping, color manipulation, object detection, etc.	scikit-image	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	130	154	3302	8913	5	5	29	29	12	12	607	607	0	0	0	0	9549	3938	171	147	https://usegalaxy.eu/published/workflow?id=035f85c1615e0b7b, https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=23030421cd9fcfb2, https://usegalaxy.eu/published/workflow?id=50c47c5b285f7c00, https://usegalaxy.eu/published/workflow?id=6fbd9b2274c62ebe, https://usegalaxy.eu/published/workflow?id=7d7550ce7004d71e, https://usegalaxy.eu/published/workflow?id=7f8ff64c5ea03a9b, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=cf196794bbd365d8, https://usegalaxy.eu/published/workflow?id=dc8b78d093be59ae, https://usegalaxy.eu/published/workflow?id=e87e726b57f1a875, https://usegalaxy.org.au/published/workflow?id=2a1e4de0dc77bbed, https://usegalaxy.org.au/published/workflow?id=8e28c3b252062b3b, https://usegalaxy.org/published/workflow?id=a8e39acc103c3d6b, https://usegalaxy.org/published/workflow?id=d47cddc372c88094, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1508?version=1, https://workflowhub.eu/workflows/1517?version=1, https://workflowhub.eu/workflows/1522?version=1, https://workflowhub.eu/workflows/1526?version=1, https://workflowhub.eu/workflows/1532?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/771?version=2	imaging/hela-screen-analysis, imaging/imaging-introduction, imaging/parameter-tuning, imaging/process-image-bioimageio, imaging/voronoi-segmentation
2d_feature_extraction	ip_2d_feature_extraction	2D feature extraction	2019-01-08	https://github.com/bmcv	0.18.1	scikit-image		To update	Imaging	Image analysis, Image annotation, Visualisation, Data handling	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language	Imaging, Software engineering, Literature and language	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_feature_extraction/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_feature_extraction	scikit-image	scikit-image	Scikit-image contains image processing algorithms for SciPy, including IO, morphology, filtering, warping, color manipulation, object detection, etc.	scikit-image	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	52	67	2130	15217	0	0	0	0	4	4	167	167	0	0	0	0	15384	2297	71	56	https://usegalaxy.eu/published/workflow?id=035f85c1615e0b7b, https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=23030421cd9fcfb2, https://usegalaxy.eu/published/workflow?id=2571f7d13686efb2, https://usegalaxy.eu/published/workflow?id=50c47c5b285f7c00, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=cf196794bbd365d8, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1508?version=1, https://workflowhub.eu/workflows/1522?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/1848?version=1	imaging/electrophoresis-gel-bands-image-analysis, imaging/hela-screen-analysis, imaging/voronoi-segmentation
2d_filter_segmentation_by_features	ip_2d_filter_segmentation_by_features	filter segmentation by rules	2019-07-19	https://github.com/bmcv	0.0.1-4	scikit-image		To update	Imaging	Image analysis	Image analysis	Imaging, Bioinformatics	Imaging, Bioinformatics	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_filter_segmentation_by_features/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_filter_segmentation_by_features	galaxy_image_analysis	Galaxy Image Analysis	Galaxy Image Analysis is mainly developed by the Biomedical Computer Vision (BMCV) Group at Heidelberg University. Its dedication is to provide tools for image analysis and image processing for the Galaxy platform.		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	34	49	514	7009	0	0	0	0	3	3	165	165	0	0	0	0	7174	679	52	37	https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=50c47c5b285f7c00, https://usegalaxy.eu/published/workflow?id=cf196794bbd365d8, https://workflowhub.eu/workflows/1508?version=1	imaging/hela-screen-analysis
2d_histogram_equalization	ip_histogram_equalization	2d histogram equalization	2019-07-23	https://github.com/bmcv	0.18.1	scikit-image		To update	Imaging	Image analysis, Image annotation, Visualisation, Data handling	Image analysis, Image annotation, Visualisation, Data handling	Imaging, Software engineering, Literature and language	Imaging, Software engineering, Literature and language	imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_histogram_equalization/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_histogram_equalization	scikit-image	scikit-image	Scikit-image contains image processing algorithms for SciPy, including IO, morphology, filtering, warping, color manipulation, object detection, etc.	scikit-image	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	100	122	2565	2669	5	5	24	24	15	15	284	284	0	0	0	0	2977	2873	142	120	https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=6fbd9b2274c62ebe, https://usegalaxy.eu/published/workflow?id=751e3e2c338949c0, https://usegalaxy.eu/published/workflow?id=7d7550ce7004d71e, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=dc8b78d093be59ae, https://usegalaxy.org.au/published/workflow?id=2a1e4de0dc77bbed, https://usegalaxy.org.au/published/workflow?id=8e28c3b252062b3b, https://usegalaxy.org/published/workflow?id=a8e39acc103c3d6b, https://usegalaxy.org/published/workflow?id=d47cddc372c88094, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1517?version=1, https://workflowhub.eu/workflows/1528?version=1, https://workflowhub.eu/workflows/1532?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/1840?version=1, https://workflowhub.eu/workflows/771?version=2	imaging/2D-spot-detection, imaging/imaging-introduction, imaging/parameter-tuning, imaging/yolo-segmentation-training
2d_simple_filter	ip_filter_standard	2d simple filter	2019-01-22	https://github.com/bmcv	1.12.0	scipy		To update	Imaging					imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_simple_filter/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/2d_simple_filter				scipy	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	107	131	2596	8178	5	5	23	23	15	15	484	484	0	0	0	0	8685	3103	151	127	https://usegalaxy.eu/published/workflow?id=1ffacb28226460ac, https://usegalaxy.eu/published/workflow?id=23030421cd9fcfb2, https://usegalaxy.eu/published/workflow?id=50c47c5b285f7c00, https://usegalaxy.eu/published/workflow?id=6fbd9b2274c62ebe, https://usegalaxy.eu/published/workflow?id=7d7550ce7004d71e, https://usegalaxy.eu/published/workflow?id=7f8ff64c5ea03a9b, https://usegalaxy.eu/published/workflow?id=bc78c184fabcff1d, https://usegalaxy.eu/published/workflow?id=cf196794bbd365d8, https://usegalaxy.eu/published/workflow?id=dc8b78d093be59ae, https://usegalaxy.org.au/published/workflow?id=2a1e4de0dc77bbed, https://usegalaxy.org.au/published/workflow?id=8e28c3b252062b3b, https://usegalaxy.org/published/workflow?id=a8e39acc103c3d6b, https://usegalaxy.org/published/workflow?id=d47cddc372c88094, https://workflowhub.eu/workflows/1259?version=1, https://workflowhub.eu/workflows/1508?version=1, https://workflowhub.eu/workflows/1517?version=1, https://workflowhub.eu/workflows/1522?version=1, https://workflowhub.eu/workflows/1532?version=1, https://workflowhub.eu/workflows/1730?version=1, https://workflowhub.eu/workflows/771?version=2	imaging/hela-screen-analysis, imaging/imaging-introduction, imaging/parameter-tuning, imaging/voronoi-segmentation
2dnmrannotation	2DNmrAnnotation	[Metabolomics][W4M][NMR] NMR Annotation2D - Automatic annotation of bi-dimensional NMR spectra	2020-02-04	http://workflow4metabolomics.org	2.0.0+galaxy3	r-batch	1.1_4	To update	Metabolomics					marie-tremblay-metatoul	https://github.com/workflow4metabolomics/tools-metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/tree/master/tools/nmr_annotation2d					0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	59	60	60	59	12	11		
Ensembl-REST	get_feature_info, get_genetree, get_sequences	A suite of Galaxy tools designed to work with Ensembl REST API.	2015-10-02	https://rest.ensembl.org	1.0.0	python		To update	Data Source					earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/main/tools/Ensembl-REST	https://github.com/TGAC/earlham-galaxytools/tree/main/tools/Ensembl-REST					0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	62	87	322	2959	0	0	0	0	0	0	0	0	0	0	0	0	2959	322	87	62	https://usegalaxy.eu/published/workflow?id=d22dac11eba8c5a3	
abacas	abacas	Order and Orientate Contigs	2019-11-20	https://github.com/phac-nml/abacas	1.1	mummer	3.23	To update	Assembly					nml	https://github.com/phac-nml/abacas	https://github.com/phac-nml/galaxy_tools/tree/master/tools/abacas					0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	2	2		
anisotropic_diffusion	ip_anisotropic_diffusion	Anisotropic image diffusion	2018-12-04	https://github.com/bmcv	0.4.0	medpy	0.4.0	Up-to-date	Imaging					imgteam	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/anisotropic-diffusion/	https://github.com/BMCV/galaxy-image-analysis/tree/master/tools/anisotropic_diffusion					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	924	964	0	0	0	0	0	0	0	0	0	0	0	0	964	924	3	2		
apoc	apoc	Large-scale structural comparison of protein pockets	2017-07-04	https://sites.gatech.edu/cssb/apoc/	1.0+galaxy1	apoc	1b16	To update	Computational chemistry					earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/main/tools/apoc/	https://github.com/TGAC/earlham-galaxytools/tree/main/tools/apoc					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	6	9	9	3	3	26	26	0	0	0	0	0	0	0	0	35	35	9	9		
